,DATETIME,DT15,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,temp,dew_point,feels_like,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,hour,minute,weekday,is_weekend,hour_sin,hour_cos,min_sin,min_cos,TIME_TO_PARADE_1_is_na,TIME_TO_PARADE_2_is_na,TIME_TO_NIGHT_SHOW_is_na,WAIT_TIME_IN_2H
0,2022-02-05 11:45:00+00:00,2022-02-05 11:45:00+00:00,Water Ride,247.0,0,20,0.0,0.0,0.0,6.0175,4.9725,3.63,1026.75,93.0,3.15,0.38375,0.139064920693471,64.0,11,45,5,1,0.258819045102521,-0.9659258262890684,-1.0,-1.8369701987210297e-16,1,1,1,30.0
1,2019-02-24 10:45:00+00:00,2019-02-24 10:45:00+00:00,Water Ride,247.0,0,30,375.0,0.0,495.0,7.92,-3.815,6.01,1035.75,41.75,3.0025,0.1624232456140351,0.3473620365005794,0.0,10,45,6,1,0.4999999999999999,-0.8660254037844386,-1.0,-1.8369701987210297e-16,0,1,0,25.0
2,2021-07-17 15:45:00+00:00,2021-07-17 15:45:00+00:00,Pirate Ship,280.5,0,35,0.0,0.0,0.0,21.77,17.7675,22.04,1025.0,78.0,4.5325,0.243329081632653,0.1845725667527993,100.0,15,45,5,1,-0.7071067811865471,-0.707106781186548,-1.0,-1.8369701987210297e-16,1,1,1,35.0
3,2022-04-03 19:45:00+00:00,2022-04-03 19:45:00+00:00,Pirate Ship,230.35,0,15,-135.0,0.0,195.0,6.865,-3.62,5.275,1023.0,45.5,2.3425,0.2422282608695652,0.4610115606936417,86.5,19,45,6,1,-0.9659258262890685,0.25881904510252035,-1.0,-1.8369701987210297e-16,0,1,0,10.0
4,2021-10-20 10:30:00+00:00,2021-10-20 10:30:00+00:00,Pirate Ship,153.0,0,15,0.0,0.0,0.0,15.14,13.245,15.02,1010.5,88.5,6.885,1.0,0.1813070628768303,79.5,10,30,2,0,0.4999999999999999,-0.8660254037844386,5.66553889764798e-16,-0.9999999999999999,1,1,1,10.0
5,2022-05-30 09:15:00+00:00,2022-05-30 09:15:00+00:00,Flying Coaster,176.4,0,5,495.0,0.0,825.0,11.97,8.0825,11.2375,1014.0,77.25,3.26,0.215,1.48,0.75,9,15,0,0,0.7071067811865477,-0.7071067811865475,0.9999999999999999,2.83276944882399e-16,0,1,0,10.0
6,2019-09-22 11:45:00+00:00,2019-09-22 11:45:00+00:00,Water Ride,247.0,0,15,345.0,0.0,555.0,21.32,13.7525,21.1225,1007.0,62.0,5.84,0.1100706214689265,0.4130761152954809,97.0,11,45,6,1,0.258819045102521,-0.9659258262890684,-1.0,-1.8369701987210297e-16,0,1,0,30.0
7,2019-01-10 14:30:00+00:00,2019-01-10 14:30:00+00:00,Water Ride,247.0,0,15,120.0,0.0,210.0,4.215,0.99,0.42,1028.0,79.5,4.875,0.1162195121951219,0.3783988764044944,95.5,14,30,3,0,-0.4999999999999997,-0.8660254037844387,5.66553889764798e-16,-0.9999999999999999,0,1,0,15.0
8,2020-08-20 10:30:00+00:00,2020-08-20 10:30:00+00:00,Water Ride,247.0,0,20,0.0,0.0,0.0,25.06,19.31,25.465,1005.5,70.5,3.775,0.221875,0.3594554508460056,47.5,10,30,3,0,0.4999999999999999,-0.8660254037844386,5.66553889764798e-16,-0.9999999999999999,1,1,1,25.0
9,2022-02-03 16:00:00+00:00,2022-02-03 16:00:00+00:00,Pirate Ship,148.75,0,30,0.0,0.0,0.0,7.04,5.19,4.6,1017.0,88.0,3.58,0.1563999999999999,0.1400331980818886,100.0,16,0,3,0,-0.8660254037844383,-0.5000000000000003,0.0,1.0,1,1,1,20.0
